system:index,date,path,row,sat,.geo
1_2_LE07_106061_20050216,2005-02-16,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050304,2005-03-04,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050320,2005-03-20,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050405,2005-04-05,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050421,2005-04-21,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050523,2005-05-23,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050608,2005-06-08,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050624,2005-06-24,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050710,2005-07-10,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050811,2005-08-11,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20050912,2005-09-12,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20051115,2005-11-15,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20051201,2005-12-01,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20060102,2006-01-02,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20060307,2006-03-07,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20060323,2006-03-23,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20060408,2006-04-08,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20060502,2006-05-02,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20060510,2006-05-10,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20060518,2006-05-18,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_20060603,2006-06-03,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20060611,2006-06-11,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20060713,2006-07-13,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20060806,2006-08-06,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20060814,2006-08-14,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20060915,2006-09-15,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20061001,2006-10-01,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20061009,2006-10-09,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20061017,2006-10-17,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20061102,2006-11-02,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20061204,2006-12-04,106.0,61.0,LANDSAT_7,
